Day, ShiftID, Requirement, WeightUnder, WeightOver
0,E,5,100,1
0,L,4,100,1
1,E,7,100,1
1,L,4,100,1
2,E,5,100,1
2,L,6,100,1
3,E,6,100,1
3,L,4,100,1
4,E,7,100,1
4,L,3,100,1
5,E,6,100,1
5,L,3,100,1
6,E,6,100,1
6,L,4,100,1
7,E,6,100,1
7,L,4,100,1
8,E,6,100,1
8,L,4,100,1
9,E,6,100,1
9,L,6,100,1
10,E,5,100,1
10,L,4,100,1
11,E,6,100,1
11,L,4,100,1
12,E,6,100,1
12,L,4,100,1
13,E,6,100,1
13,L,4,100,1
14,E,7,100,1
14,L,3,100,1
15,E,8,100,1
15,L,4,100,1
16,E,6,100,1
16,L,5,100,1
17,E,7,100,1
17,L,4,100,1
18,E,7,100,1
18,L,4,100,1
19,E,6,100,1
19,L,4,100,1
20,E,6,100,1
20,L,4,100,1
21,E,6,100,1
21,L,4,100,1
22,E,5,100,1
22,L,4,100,1
23,E,6,100,1
23,L,5,100,1
24,E,6,100,1
24,L,4,100,1
25,E,4,100,1
25,L,4,100,1
26,E,6,100,1
26,L,6,100,1
27,E,7,100,1
27,L,5,100,1
